input,time
655,0.0980
656,0.0960
657,0.0960
658,0.0970
659,0.1010
660,0.0980
661,0.0990
662,0.1030
663,0.1010
664,0.1000
665,0.0990
666,0.1020
667,0.1010
668,0.1010
669,0.1030
670,0.1060
671,0.1110
672,0.1050
673,0.1050
674,0.1050
675,0.1050
676,0.1080
677,0.1080
678,0.1050
679,0.1100
680,0.1080
681,0.1090
682,0.1080
683,0.1240
684,0.1090
685,0.1090
686,0.1090
687,0.1110
688,0.1140
689,0.1120
690,0.1110
691,0.1140
692,0.1140
693,0.1130
694,0.1150
695,0.1180
696,0.1170
697,0.1160
698,0.1200
699,0.1160
700,0.1160
701,0.1180
702,0.1180
703,0.1180
704,0.1220
705,0.1220
706,0.1220
707,0.1220
708,0.1230
709,0.1220
710,0.1260
711,0.1220
712,0.1290
713,0.1270
714,0.1260
715,0.1270
716,0.1260
717,0.1260
718,0.1260
719,0.1300
720,0.1310
721,0.1280
722,0.1260
723,0.1310
724,0.1320
725,0.1300
726,0.1300
727,0.1300
728,0.1320
729,0.1330
730,0.1310
731,0.1320
732,0.1330
733,0.1360
734,0.1360
735,0.1340
736,0.1360
737,0.1370
738,0.1380
739,0.1380
740,0.1370
741,0.1370
742,0.1430
743,0.1450
744,0.1430
745,0.1430
746,0.1410
747,0.1430
748,0.1460
749,0.1430
750,0.1450
